epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,42023.7,1.21092,2.00362,0.85308,1.0005,0,0.48321,0.36788,0.36797,0.20078,0.45937,0.33037,0.3235,0.14211,1.24994,2.01384,5.4899,0.8791,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,42749.3,1.20271,2.00152,0.84631,0.99977,0,0.48781,0.36784,0.36802,0.20075,0.4572,0.33404,0.32361,0.14194,1.24941,2.01266,5.40167,0.8788,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,43475.7,1.20435,1.99835,0.84791,0.99849,0,0.49208,0.3665,0.36822,0.20098,0.46161,0.33129,0.32496,0.1422,1.24893,2.0121,5.37142,0.87864,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,44201.1,1.20203,1.99545,0.843,0.99727,0,0.49369,0.36496,0.3684,0.20096,0.45918,0.33098,0.32435,0.14219,1.24841,2.01137,5.40793,0.87872,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,44926.3,1.19336,1.97862,0.83663,0.99564,0,0.49634,0.36251,0.36843,0.20088,0.46574,0.3288,0.32407,0.14238,1.24852,2.01095,5.45054,0.87918,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,45651.7,1.19443,1.98064,0.8356,0.99566,0,0.5025,0.36076,0.36874,0.20106,0.47223,0.32846,0.32466,0.14244,1.24826,2.01083,5.46206,0.87915,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,46377.4,1.19187,1.97662,0.82962,0.99368,0,0.50286,0.35993,0.36868,0.20089,0.47757,0.32678,0.32449,0.14233,1.24834,2.01057,5.43697,0.87912,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,47103.1,1.1861,1.96705,0.82691,0.99252,0,0.50572,0.35869,0.36914,0.20104,0.47353,0.32562,0.32372,0.14224,1.24814,2.00948,5.38472,0.87921,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,47827.8,1.178,1.95858,0.81908,0.98922,0,0.50069,0.35902,0.36873,0.20118,0.47491,0.3251,0.32411,0.14237,1.24754,2.00936,5.38008,0.8789,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,48553,1.17526,1.95372,0.81631,0.98899,0,0.49924,0.35929,0.36877,0.20134,0.47544,0.32367,0.32381,0.14246,1.24695,2.00932,5.35972,0.87843,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,49277.2,1.1706,1.94265,0.81198,0.98789,0,0.49757,0.36105,0.36874,0.20125,0.47512,0.32244,0.32363,0.14245,1.24666,2.00919,5.33879,0.87816,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,50001.9,1.16723,1.94203,0.81025,0.98576,0,0.48976,0.36424,0.36884,0.20129,0.47148,0.32497,0.32403,0.14253,1.24631,2.0087,5.31563,0.87796,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,50726.5,1.16772,1.93689,0.80705,0.98659,0,0.4873,0.36331,0.36825,0.2012,0.46604,0.32651,0.32414,0.14262,1.24628,2.00881,5.2803,0.87805,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,51452.2,1.16579,1.93355,0.80465,0.98387,0,0.48131,0.36795,0.36852,0.20132,0.46557,0.32571,0.32444,0.14284,1.24611,2.00871,5.25762,0.87794,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,52177.8,1.16286,1.9282,0.80047,0.98356,0,0.47786,0.36747,0.36841,0.20123,0.46455,0.32614,0.32466,0.1427,1.24614,2.00857,5.2263,0.8779,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,52903.2,1.15482,1.91857,0.79406,0.98059,0,0.47747,0.36686,0.36822,0.20126,0.4559,0.32726,0.32388,0.14259,1.24616,2.00875,5.1589,0.87784,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,53628.9,1.15293,1.91521,0.7904,0.97858,0,0.48015,0.36461,0.36772,0.20112,0.45522,0.32646,0.32383,0.14239,1.24604,2.00912,5.11205,0.87763,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,54355,1.15205,1.91391,0.78863,0.97856,0,0.48121,0.36641,0.36775,0.20113,0.45735,0.32585,0.32388,0.1425,1.24599,2.00828,5.06108,0.87764,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,55081.2,1.1428,1.89882,0.78382,0.97604,0,0.48275,0.36668,0.36771,0.2011,0.46289,0.32432,0.32369,0.14272,1.24603,2.00827,5.02591,0.87769,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,55809.5,1.14069,1.89634,0.7803,0.97595,0,0.48606,0.3654,0.36769,0.20106,0.46246,0.32378,0.32392,0.14274,1.24588,2.00847,4.97859,0.87755,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
